benchmark	confidence_level	lower_bound_ns	point_estimate_ns	upper_bound_ns	standard_error_ns
memory_append_batch/1	0.95	3953.8036519234893	3970.526857364384	3990.4909288737417	9.232474221567166
memory_append_batch/4	0.95	4176.0779894884945	4200.162946355129	4223.533150496081	11.954291950336625
memory_append_batch/16	0.95	4782.815646349504	4796.760604747792	4825.3458581593095	11.055442138211246
memory_append_batch/64	0.95	7395.289971871938	7439.207667355106	7512.048213421798	29.78473524264447
memory_append_batch/256	0.95	11488.194826362092	11534.435377299555	11618.903428056028	33.677837787314544
memory_append_inline_bytes/32	0.95	3995.8449683293647	4010.2275118517523	4028.0228420242493	8.141903377132927
memory_append_inline_bytes/256	0.95	4422.072569197315	4441.831396488127	4460.223348828831	10.338558409904794
memory_append_inline_bytes/4096	0.95	7862.869628222495	7895.546022841114	7928.993469724983	17.483509196652605
memory_append_staged_bytes/65536	0.95	57774.37545530141	57921.12900916588	58183.59581248905	107.13174756682419
memory_append_staged_bytes/1048576	0.95	841699.912159864	844194.4071737786	846616.4310387367	1254.4910633998393
memory_recover_tail/0	0.95	1532.1203865862494	1536.7354883205983	1541.2658529500634	2.351080426905954
memory_recover_tail/16	0.95	37326.10493112759	37588.45976188224	37988.89936024824	167.89786414906368
memory_recover_tail/64	0.95	145234.22561161863	145594.10533450614	146398.96189887766	302.24054860647425
memory_recover_tail/256	0.95	577781.0093249731	580493.8719155844	583099.2827573585	1418.2714713042453
memory_recover_tail/1024	0.95	2312704.03539143	2323700.211038961	2341619.3397108843	7490.950580289363
memory_writer_contention/1	0.95	3149.8635089518716	3163.544431615409	3177.680989866136	6.983001772808075
memory_writer_contention/2	0.95	7824.415486590021	7865.1044426406925	7915.338374201082	23.09789394854502
memory_writer_contention/8	0.95	35077.87367513283	35331.49572805418	35541.649331738336	118.11835034775004
memory_writer_contention/32	0.95	151853.9696161374	152625.72209173805	153701.5460737609	465.65900001753255
