name	version	license
anyhow	1.0.104	Apache-2.0 OR MIT
async-trait	0.1.92	Apache-2.0 OR MIT
blake3	1.8.7	Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR CC0-1.0
bytes	1.12.1	MIT
clap	4.6.7	Apache-2.0 OR MIT
criterion	0.7.0	Apache-2.0 OR MIT
futures	0.3.34	Apache-2.0 OR MIT
hex	0.4.3	Apache-2.0 OR MIT
hmac	0.12.1	Apache-2.0 OR MIT
http	1.5.0	Apache-2.0 OR MIT
http-body	1.1.0	MIT
http-body-util	0.1.5	MIT
humantime	2.4.0	Apache-2.0 OR MIT
minicbor	2.3.0	BlueOak-1.0.0
object_store	0.14.1	Apache-2.0 OR MIT
object_store	0.14.2	Apache-2.0 OR MIT
serde	1.0.229	Apache-2.0 OR MIT
sha2	0.10.9	Apache-2.0 OR MIT
spin-app	4.1.0	Apache-2.0 WITH LLVM-exception
spin-core	4.1.0	Apache-2.0 WITH LLVM-exception
spin-executor	5.2.0	Apache-2.0 WITH LLVM-exception
spin-factor-key-value	4.1.0	Apache-2.0 WITH LLVM-exception
spin-factor-outbound-http	4.1.0	Apache-2.0 WITH LLVM-exception
spin-factor-outbound-networking	4.1.0	Apache-2.0 WITH LLVM-exception
spin-factor-variables	4.1.0	Apache-2.0 WITH LLVM-exception
spin-factor-wasi	4.1.0	Apache-2.0 WITH LLVM-exception
spin-factors	4.1.0	Apache-2.0 WITH LLVM-exception
spin-factors-executor	4.1.0	Apache-2.0 WITH LLVM-exception
spin-loader	4.1.0	Apache-2.0 WITH LLVM-exception
spin-sdk	5.2.0	Apache-2.0 WITH LLVM-exception
spin-tls	4.1.0	Apache-2.0 WITH LLVM-exception
spin-trigger	4.1.0	Apache-2.0 WITH LLVM-exception
spin-trigger-http	4.1.0	Apache-2.0 WITH LLVM-exception
tempfile	3.27.0	Apache-2.0 OR MIT
thiserror	2.0.20	Apache-2.0 OR MIT
tokio	1.53.1	MIT
toml	0.8.23	Apache-2.0 OR MIT
tracing	0.1.44	MIT
tracing-subscriber	0.3.23	MIT
uuid	1.26.0	Apache-2.0 OR MIT
wasi	0.13.1+wasi-0.2.0	Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
wit-bindgen	0.46.0	Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
